id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	30.0	103.5	36.5	0	0	200	45	1.7	0.7194518429369736,0.9719616032366221,0.7724228491732646,1
2	spot	63.66842105263157	103.5	78.4	0	0	200	60	1.7	0.7194518429369736,0.9719616032366221,0.7724228491732646,1
3	spot	30.0	103.5	120.3	0	0	200	30	1.7	0.7194518429369736,0.9719616032366221,0.7724228491732646,1
4	spot	-51.77894736842104	103.5	138.3315789473684	40	270	200	45	2.0	0.7194518429369736,0.9719616032366221,0.7724228491732646,1
6	spot	-13.926315789473676	103.5	138.3315789473684	40	270	200	45	2.0	0.7194518429369736,0.9719616032366221,0.7724228491732646,1
8	spot	23.926315789473676	103.5	138.3315789473684	40	270	200	45	2.0	0.7194518429369736,0.9719616032366221,0.7724228491732646,1
10	spot	61.77894736842106	103.5	138.3315789473684	40	270	200	45	2.0	0.7194518429369736,0.9719616032366221,0.7724228491732646,1
12	spot	40.16842105263157	103.5	166.69894736842102	40	0	200	45	2.0	0.7194518429369736,0.9719616032366221,0.7724228491732646,1
14	spot	40.16842105263157	103.5	34.1431578947368	40	0	200	45	2.0	0.7194518429369736,0.9719616032366221,0.7724228491732646,1
15	spot	0	103.5	99.41684210526314	60	180	200	40	3.6	0.7194518429369736,0.9719616032366221,0.7724228491732646,1
