id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-66.23684	103.5	47.6	0	0	200	45	1.7	0.8431931,0.7508049,0.8410726,1
2	spot	63.66842	103.5	70.6	0	0	200	45	1.7	0.8431931,0.7508049,0.8410726,1
3	spot	30	103.5	104.7	0	0	200	30	1.7	0.8431931,0.7508049,0.8410726,1
3	spot	-63.13474	103.5	122.1158	40	270	200	25	2	0.8431931,0.7508049,0.8410726,1
4	spot	-29.06737	103.5	122.1158	40	270	200	25	2	0.8431931,0.7508049,0.8410726,1
5	spot	5	103.5	122.1158	40	270	200	25	2	0.8431931,0.7508049,0.8410726,1
6	spot	39.06737	103.5	122.1158	40	270	200	25	2	0.8431931,0.7508049,0.8410726,1
7	spot	73.13474	103.5	122.1158	40	270	200	25	2	0.8431931,0.7508049,0.8410726,1
8	spot	40.16842	103.5	155.6557	40	0	200	25	2	0.8431931,0.7508049,0.8410726,1
9	spot	40.16842	103.5	123.9331	40	0	200	25	2	0.8431931,0.7508049,0.8410726,1
10	spot	40.16842	103.5	92.21053	40	0	200	25	2	0.8431931,0.7508049,0.8410726,1
11	spot	40.16842	103.5	60.48795	40	0	200	25	2	0.8431931,0.7508049,0.8410726,1
12	spot	40.16842	103.5	28.76538	40	0	200	25	2	0.8431931,0.7508049,0.8410726,1
13	spot	0	103.5	79.30643	60	180	200	40	3.6	0.8431931,0.7508049,0.8410726,1
