ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/798381/title_panel.png	-29.15789473684211,28.656,31.5	1,0,0	0,1,0	0,0,1	0	-2.600999	0.2	1.4	none(caption)	4:3	22
1	./Images/798381/title_panel.png	-29.15789473684211,28.656,31.5	1,0,0	0,1,0	0,0,1	0	-2.600999	0.2	1.4	none(caption)	4:3	22
1	./Images/798381/word_cloud.png	-116.17894736842106,38,115.67368421052629	0,0,1	0,1,0	-1,0,0	0	5	0.2	4	Wooden_thin2	-1:-1	23
2	./Images/798381/Fujinodai-danchi1.jpg	0,38,230.7631578947368	1,0,0	0,1,0	0,0,1	-79.31578947368422	-10	0.2	1.9473684210526314	Wooden_thin	-1:-1	3
3	./Images/798381/caption/caption0.png	0,38,230.7631578947368	1,0,0	0,1,0	0,0,1	-64.57894736842107	-20	0.2	0.7	none(caption)	-1:-1	4
4	./Images/798381/Danchi-icho-dori.jpg	0,38,230.7631578947368	1,0,0	0,1,0	0,0,1	-45.58947368421053	-10	0.2	1.9473684210526314	Wooden_thin	-1:-1	5
5	./Images/798381/caption/caption1.png	0,38,230.7631578947368	1,0,0	0,1,0	0,0,1	-30.852631578947374	-20	0.2	0.7	none(caption)	-1:-1	6
6	./Images/798381/Tokyo Route 3 -06.jpg	0,38,230.7631578947368	1,0,0	0,1,0	0,0,1	-11.863157894736844	-10	0.2	1.9473684210526314	Wooden_thin	-1:-1	7
7	./Images/798381/caption/caption2.png	0,38,230.7631578947368	1,0,0	0,1,0	0,0,1	2.8736842105263136	-20	0.2	0.7	none(caption)	-1:-1	8
8	./Images/798381/Fujinodai-bustarminal.jpg	0,38,230.7631578947368	1,0,0	0,1,0	0,0,1	21.863157894736844	-10	0.2	1.9473684210526314	Wooden_thin	-1:-1	9
9	./Images/798381/caption/caption3.png	0,38,230.7631578947368	1,0,0	0,1,0	0,0,1	36.6	-20	0.2	0.7	none(caption)	-1:-1	10
10	./Images/798381/Fujinodai Danchi BC 2007 2 12.jpg	0,38,230.7631578947368	1,0,0	0,1,0	0,0,1	55.58947368421053	-10	0.2	1.9473684210526314	Wooden_thin	-1:-1	11
11	./Images/798381/caption/caption4.png	0,38,230.7631578947368	1,0,0	0,1,0	0,0,1	70.32631578947368	-20	0.2	0.7	none(caption)	-1:-1	12
12	./Images/798381/Machida-City-Museum.jpg	0,38,230.7631578947368	1,0,0	0,1,0	0,0,1	89.31578947368422	-10	0.2	1.9473684210526314	Wooden_thin	-1:-1	13
13	./Images/798381/caption/caption5.png	0,38,230.7631578947368	1,0,0	0,1,0	0,0,1	104.05263157894737	-20	0.2	0.7	none(caption)	-1:-1	14
14	Images/798381/table/fixed_藤の台団地停留所.png	116.17894736842106,38,116.84210526315788	0,0,-1	0,1,0	1,0,0	0.0	-10	0.2	2.15625	Wooden_thin	-1:-1	15
